CODE,lat,lon,lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,EXIOBASE_name
JPN,35.0,136.0,35.0,138.0,33.8244,134.382,36.1756,134.382,33.098,136.618,36.902,136.618,Japan
KOR,36.0,128.0,36.0,130.0,34.8244,126.382,37.1756,126.382,34.098,128.618,37.902,128.618,South Korea
LVA,57.0,25.0,57.0,27.0,55.8244,23.382,58.1756,23.382,55.098,25.618,58.902,25.618,Latvia
LTU,55.2,24.0,55.2,26.0,54.0244,22.382,56.3756,22.382,53.298,24.618,57.102,24.618,Lithuania
LUX,49.77,6.13,49.77,8.13,48.5944,4.512,50.9456,4.512,47.868,6.748,51.672,6.748,Luxembourg
MLT,35.88,14.5,35.88,16.5,34.7044,12.882,37.0556,12.882,33.978,15.118,37.782,15.118,Malta
MEX,23.0,-102.0,23.0,-100.0,21.8244,-103.618,24.1756,-103.618,21.098,-101.382,24.902,-101.382,Mexico
NLD,52.32,5.55,52.32,7.55,51.1444,3.932,53.4956,3.932,50.418,6.168,54.222,6.168,Netherlands
NOR,65.0,11.0,65.0,13.0,63.8244,9.382,66.1756,9.382,63.098,11.618,66.902,11.618,Norway
POL,52.0,19.0,52.0,21.0,50.8244,17.382,53.1756,17.382,50.098,19.618,53.902,19.618,Poland
PRT,38.7,-9.18,38.7,-7.18,37.5244,-10.798,39.8756,-10.798,36.798,-8.562,40.602,-8.562,Portugal
ROU,46.0,25.0,46.0,27.0,44.8244,23.382,47.1756,23.382,44.098,25.618,47.902,25.618,Romania
RUS,66.42,94.25,66.42,96.25,65.2444,92.632,67.5956,92.632,64.518,94.868,68.322,94.868,Russia
SVK,49.0,20.0,49.0,22.0,47.8244,18.382,50.1756,18.382,47.098,20.618,50.902,20.618,Slovakia
SVN,46.0,15.0,46.0,17.0,44.8244,13.382,47.1756,13.382,44.098,15.618,47.902,15.618,Slovenia
ZAF,-29.0,24.0,-29.0,26.0,-30.1756,22.382,-27.8244,22.382,-30.902,24.618,-27.098,24.618,South Africa
ESP,40.2,-3.5,40.2,-1.5,39.0244,-5.118,41.3756,-5.118,38.298,-2.882,42.102,-2.882,Spain
SWE,60.5,14.0,60.5,16.0,59.3244,12.382,61.6756,12.382,58.598,14.618,62.402,14.618,Sweden
CHE,46.8,8.23,46.8,10.23,45.6244,6.612,47.9756,6.612,44.898,8.848,48.702,8.848,Switzerland
TWN,24.0,121.0,24.0,123.0,22.8244,119.382,25.1756,119.382,22.098,121.618,25.902,121.618,Taiwan
TUR,39.0,36.0,39.0,38.0,37.8244,34.382,40.1756,34.382,37.098,36.618,40.902,36.618,Turkey
GBR,54.6,-2.0,54.6,0.0,53.4244,-3.618,55.7756,-3.618,52.698,-1.382,56.502,-1.382,United Kingdom
USA,40.83,-98.58,40.83,-96.58,39.6544,-100.198,42.0056,-100.198,38.928,-97.962,42.732,-97.962,United States
NGA,9.0,8.0,9.0,10.0,7.8244,6.382,10.1756,6.382,7.098,8.618,10.902,8.618,RoW Africa
UKR,49.0,32.0,49.0,34.0,47.8244,30.382,50.1756,30.382,47.098,32.618,50.902,32.618,RoW Europe
COL,4.0,-73.25,4.0,-71.25,2.8244,-74.868,5.1756,-74.868,2.098,-72.632,5.902,-72.632,RoW America
THA,14.0,101.0,14.0,103.0,12.8244,99.382,15.1756,99.382,12.098,101.618,15.902,101.618,RoW Asia and Pacific
SAU,23.72,44.12,23.72,46.12,22.5444,42.502,24.8956,42.502,21.818,44.738,25.622,44.738,RoW Middle East
