latitude,longitude,color,year,country,sector
,,lime,1995,South Korea,Manufacture of textiles
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
42.732,-97.962,lime,1995,USA,Real estate activities
,,lime,1995,USA,Real estate activities
47.0,2.0,lime,1995,France,Cattle farming
43.6756,10.882,lime,1995,Italy,Processing of meat cattle
,,lime,1995,Italy,Processing of meat cattle
60.0,-106.0,lime,1995,Canada,Cultivation of wheat
25.1756,119.382,lime,1995,Taiwan,Processing of food products
,,lime,1995,Taiwan,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
47.0,2.0,lime,1995,France,Cultivation of oil seeds
55.7756,-3.618,lime,1995,United Kingdom,Processing of food products
,,lime,1995,United Kingdom,Processing of food products
60.0,-106.0,lime,1995,Canada,Cultivation of oil seeds
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
47.0,2.0,lime,1995,France,Cultivation of cereal grains
51.8156,3.052,lime,1995,Belgium,Processing of food products
,,lime,1995,Belgium,Processing of food products
35.84,103.45,lime,1995,China,"Cultivation of vegetables, fruit, nuts"
40.83,-96.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
,,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Manufacture of tobacco products
,,lime,1995,USA,Manufacture of tobacco products
14.0,101.0,lime,1995,RoW Asia and Pacific,Fishing
33.098,136.618,lime,1995,Japan,Hotels and restaurants
,,lime,1995,Japan,Hotels and restaurants
40.83,-98.58,lime,1995,USA,Forestry
35.0,138.0,lime,1995,Japan,Forestry
,,lime,1995,Japan,Forestry
4.0,-73.25,lime,1995,RoW America,Cultivation of plant-based fibers
-11.8244,-54.618,lime,1995,Brazil,Manufacture of textiles
,,lime,1995,Brazil,Manufacture of textiles
40.83,-98.58,lime,1995,USA,Cultivation of crops
36.1756,134.382,lime,1995,Japan,Manufacture of wood products
,,lime,1995,Japan,Manufacture of wood products
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
37.1756,126.382,lime,1995,South Korea,Manufacture of tobacco products
,,lime,1995,South Korea,Manufacture of tobacco products
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
40.83,-96.58,lime,1995,USA,Forestry
,,lime,1995,USA,Forestry
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
33.938,104.068,lime,1995,China,Construction
,,lime,1995,China,Construction
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
35.0,138.0,lime,1995,Japan,Forestry
,,lime,1995,Japan,Forestry
-1.0,115.0,lime,1995,Indonesia,"Cultivation of vegetables, fruit, nuts"
51.8156,3.052,lime,1995,Belgium,Processing of food products
,,lime,1995,Belgium,Processing of food products
35.84,103.45,lime,1995,China,Pigs farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
49.0,32.0,lime,1995,RoW Europe,Cattle farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
51.0,10.0,lime,1995,Germany,Cattle farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
33.098,136.618,lime,1995,Japan,Hotels and restaurants
,,lime,1995,Japan,Hotels and restaurants
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
37.1756,126.382,lime,1995,South Korea,Processing of food products
,,lime,1995,South Korea,Processing of food products
47.0,2.0,lime,1995,France,Cattle farming
43.6756,10.882,lime,1995,Italy,Processing of food products
,,lime,1995,Italy,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of plant-based fibers
43.6756,10.882,lime,1995,Italy,Manufacture of textiles
,,lime,1995,Italy,Manufacture of textiles
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
41.3756,-5.118,lime,1995,Spain,Processing of food products
,,lime,1995,Spain,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of crops
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
41.3756,-5.118,lime,1995,Spain,Manufacture of beverages
,,lime,1995,Spain,Manufacture of beverages
9.0,8.0,lime,1995,RoW Africa,Cultivation of crops
47.0,4.0,lime,1995,France,Cattle farming
,,lime,1995,France,Cattle farming
-25.5,135.0,lime,1995,Australia,Cultivation of plant-based fibers
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
40.83,-96.58,lime,1995,USA,Cattle farming
,,lime,1995,USA,Cattle farming
39.0,36.0,lime,1995,Turkey,Cultivation of plant-based fibers
43.6756,10.882,lime,1995,Italy,Manufacture of textiles
,,lime,1995,Italy,Manufacture of textiles
35.84,103.45,lime,1995,China,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
40.83,-96.58,lime,1995,USA,Forestry
,,lime,1995,USA,Forestry
9.0,8.0,lime,1995,RoW Africa,Cultivation of crops
52.1756,8.382,lime,1995,Germany,Processing of food products
,,lime,1995,Germany,Processing of food products
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
41.3756,-5.118,lime,1995,Spain,Manufacture of fish products
,,lime,1995,Spain,Manufacture of fish products
-25.5,135.0,lime,1995,Australia,Cattle farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
36.902,136.618,lime,1995,Japan,Health and social work
,,lime,1995,Japan,Health and social work
60.0,-106.0,lime,1995,Canada,Cultivation of oil seeds
24.1756,-103.618,lime,1995,Mexico,Processing vegetable oils and fats
,,lime,1995,Mexico,Processing vegetable oils and fats
66.42,94.25,lime,1995,Russia,Cultivation of cereal grains
50.1756,30.382,lime,1995,RoW Europe,Petroleum Refinery
,,lime,1995,RoW Europe,Petroleum Refinery
9.0,8.0,lime,1995,RoW Africa,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
47.0,2.0,lime,1995,France,"Cultivation of vegetables, fruit, nuts"
52.698,-1.382,lime,1995,United Kingdom,Hotels and restaurants
,,lime,1995,United Kingdom,Hotels and restaurants
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
15.1756,99.382,lime,1995,RoW Asia and Pacific,Processing of food products
,,lime,1995,RoW Asia and Pacific,Processing of food products
4.0,-73.25,lime,1995,RoW America,Cultivation of cereal grains
-11.8244,-54.618,lime,1995,Brazil,Processing of food products
,,lime,1995,Brazil,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Fishing
36.902,136.618,lime,1995,Japan,Health and social work
,,lime,1995,Japan,Health and social work
24.0,121.0,lime,1995,Taiwan,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of plant-based fibers
0.1756,113.382,lime,1995,Indonesia,Manufacture of textiles
,,lime,1995,Indonesia,Manufacture of textiles
60.0,-106.0,lime,1995,Canada,Cultivation of cereal grains
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
9.0,8.0,lime,1995,RoW Africa,Cultivation of crops
47.0,4.0,lime,1995,France,Raw milk
,,lime,1995,France,Raw milk
24.0,121.0,lime,1995,Taiwan,Fishing
36.1756,134.382,lime,1995,Japan,Manufacture of fish products
,,lime,1995,Japan,Manufacture of fish products
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
20.898,80.618,lime,1995,India,Hotels and restaurants
,,lime,1995,India,Hotels and restaurants
52.32,5.55,lime,1995,Netherlands,Cultivation of crops
52.1756,8.382,lime,1995,Germany,Processing of food products
,,lime,1995,Germany,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Fishing
35.0,138.0,lime,1995,Japan,Fishing
,,lime,1995,Japan,Fishing
47.0,2.0,lime,1995,France,Cultivation of wheat
53.4956,3.932,lime,1995,Netherlands,Processing of food products
,,lime,1995,Netherlands,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
40.2,-1.5,lime,1995,Spain,"Cultivation of vegetables, fruit, nuts"
,,lime,1995,Spain,"Cultivation of vegetables, fruit, nuts"
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Chemicals
,,lime,1995,USA,Chemicals
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
36.1756,134.382,lime,1995,Japan,Manufacture of beverages
,,lime,1995,Japan,Manufacture of beverages
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
52.1756,8.382,lime,1995,Germany,Processing of food products
,,lime,1995,Germany,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
25.1756,119.382,lime,1995,Taiwan,Manufacture of wood products
,,lime,1995,Taiwan,Manufacture of wood products
35.84,103.45,lime,1995,China,"Cultivation of vegetables, fruit, nuts"
38.928,-97.962,lime,1995,USA,Hotels and restaurants
,,lime,1995,USA,Hotels and restaurants
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
40.83,-96.58,lime,1995,USA,Cattle farming
,,lime,1995,USA,Cattle farming
60.0,-106.0,lime,1995,Canada,Cultivation of oil seeds
51.8156,3.052,lime,1995,Belgium,Processing of food products
,,lime,1995,Belgium,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
22.098,121.618,lime,1995,Taiwan,Construction
,,lime,1995,Taiwan,Construction
60.0,-106.0,lime,1995,Canada,Cultivation of wheat
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
35.84,103.45,lime,1995,China,Cultivation of crops
42.732,-97.962,lime,1995,USA,Real estate activities
,,lime,1995,USA,Real estate activities
-1.0,115.0,lime,1995,Indonesia,Animal products
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
36.1756,134.382,lime,1995,Japan,Manufacture of tobacco products
,,lime,1995,Japan,Manufacture of tobacco products
54.6,-2.0,orange,1995,United Kingdom,Extraction of crude petroleum
48.1756,0.382,orange,1995,France,Petroleum Refinery
,,orange,1995,France,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
54.6,-2.0,orange,1995,United Kingdom,Extraction of crude petroleum
52.1756,8.382,orange,1995,Germany,Petroleum Refinery
,,orange,1995,Germany,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
15.1756,99.382,orange,1995,RoW Asia and Pacific,Petroleum Refinery
,,orange,1995,RoW Asia and Pacific,Petroleum Refinery
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
15.1756,99.382,orange,1995,RoW Asia and Pacific,Petroleum Refinery
,,orange,1995,RoW Asia and Pacific,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
48.1756,0.382,orange,1995,France,Petroleum Refinery
,,orange,1995,France,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
43.6756,10.882,orange,1995,Italy,Petroleum Refinery
,,orange,1995,Italy,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
43.6756,10.882,orange,1995,Italy,Petroleum Refinery
,,orange,1995,Italy,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
23.0,-102.0,orange,1995,Mexico,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Mining of copper
36.1756,134.382,orange,1995,Japan,Copper production
,,orange,1995,Japan,Copper production
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
61.1756,-107.618,orange,1995,Canada,Petroleum Refinery
,,orange,1995,Canada,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
48.1756,0.382,orange,1995,France,Petroleum Refinery
,,orange,1995,France,Petroleum Refinery
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
25.1756,119.382,orange,1995,Taiwan,Petroleum Refinery
,,orange,1995,Taiwan,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of crude petroleum
-24.3244,133.382,orange,1995,Australia,Petroleum Refinery
,,orange,1995,Australia,Petroleum Refinery
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
-11.8244,-54.618,orange,1995,Brazil,Petroleum Refinery
,,orange,1995,Brazil,Petroleum Refinery
60.0,-106.0,orange,1995,Canada,Mining of copper
36.1756,134.382,orange,1995,Japan,Copper production
,,orange,1995,Japan,Copper production
14.0,101.0,orange,1995,RoW Asia and Pacific,"Mining of coal, lignite and peat"
64.518,94.868,orange,1995,Russia,Production of electricity by coal
,,orange,1995,Russia,Production of electricity by coal
23.0,-102.0,orange,1995,Mexico,Extraction of crude petroleum
5.1756,-74.868,orange,1995,RoW America,Petroleum Refinery
,,orange,1995,RoW America,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
52.1756,8.382,orange,1995,Germany,Petroleum Refinery
,,orange,1995,Germany,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of crude petroleum
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
10.1756,6.382,orange,1995,RoW Africa,Chemicals
,,orange,1995,RoW Africa,Chemicals
4.0,-73.25,orange,1995,RoW America,Mining of copper
36.1756,134.382,orange,1995,Japan,Copper production
,,orange,1995,Japan,Copper production
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
52.1756,8.382,orange,1995,Germany,Petroleum Refinery
,,orange,1995,Germany,Petroleum Refinery
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
33.098,136.618,orange,1995,Japan,Production of electricity by coal
,,orange,1995,Japan,Production of electricity by coal
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
37.0156,101.832,orange,1995,China,Petroleum Refinery
,,orange,1995,China,Petroleum Refinery
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
-11.8244,-54.618,orange,1995,Brazil,Petroleum Refinery
,,orange,1995,Brazil,Petroleum Refinery
23.72,44.12,orange,1995,RoW Middle East,Extraction of crude petroleum
39.6756,21.382,orange,1995,Greece,Petroleum Refinery
,,orange,1995,Greece,Petroleum Refinery
-25.5,135.0,orange,1995,Australia,Extraction of crude petroleum
15.1756,99.382,orange,1995,RoW Asia and Pacific,Petroleum Refinery
,,orange,1995,RoW Asia and Pacific,Petroleum Refinery
-13.0,-53.0,orange,1995,Brazil,Mining of iron
36.1756,134.382,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
,,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
-1.0,115.0,orange,1995,Indonesia,Extraction of crude petroleum
-24.3244,133.382,orange,1995,Australia,Petroleum Refinery
,,orange,1995,Australia,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Mining of nickel
36.1756,134.382,orange,1995,Japan,Other non-ferrous metal production
,,orange,1995,Japan,Other non-ferrous metal production
40.2,-3.5,orange,1995,Spain,Quarrying of stone
21.818,44.738,orange,1995,RoW Middle East,Construction
,,orange,1995,RoW Middle East,Construction
35.84,103.45,orange,1995,China,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
-25.5,135.0,orange,1995,Australia,Mining of iron
36.1756,134.382,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
,,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
36.1756,134.382,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
,,orange,1995,Japan,"Manufacture of basic iron, steel and ferro-alloys"
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
52.1756,8.382,orange,1995,Germany,Petroleum Refinery
,,orange,1995,Germany,Petroleum Refinery
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
34.098,128.618,orange,1995,South Korea,Production of electricity by gas
,,orange,1995,South Korea,Production of electricity by gas
-25.5,135.0,orange,1995,Australia,Extraction of natural gas
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Quarrying of stone
33.098,136.618,orange,1995,Japan,Construction
,,orange,1995,Japan,Construction
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
36.1756,134.382,orange,1995,Japan,"Manufacture of cement, lime and plaster"
,,orange,1995,Japan,"Manufacture of cement, lime and plaster"
14.0,101.0,orange,1995,RoW Asia and Pacific,Mining of other non-ferrous metals
67.5956,92.632,orange,1995,Russia,Other non-ferrous metal production
,,orange,1995,Russia,Other non-ferrous metal production
-25.5,135.0,orange,1995,Australia,Extraction of crude petroleum
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of natural gas
48.1756,0.382,orange,1995,France,Plastics
,,orange,1995,France,Plastics
-25.5,135.0,orange,1995,Australia,"Mining of coal, lignite and peat"
36.1756,134.382,orange,1995,Japan,Manufacture of coke oven products
,,orange,1995,Japan,Manufacture of coke oven products
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
61.1756,-107.618,orange,1995,Canada,Petroleum Refinery
,,orange,1995,Canada,Petroleum Refinery
54.6,-2.0,orange,1995,United Kingdom,Extraction of crude petroleum
43.6756,10.882,orange,1995,Italy,Petroleum Refinery
,,orange,1995,Italy,Petroleum Refinery
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
-14.1756,-54.618,orange,1995,Brazil,Extraction of crude petroleum
,,orange,1995,Brazil,Extraction of crude petroleum
23.0,-102.0,orange,1995,Mexico,Extraction of crude petroleum
61.1756,-107.618,orange,1995,Canada,Petroleum Refinery
,,orange,1995,Canada,Petroleum Refinery
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
-11.8244,-54.618,orange,1995,Brazil,Petroleum Refinery
,,orange,1995,Brazil,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of crude petroleum
47.9756,6.612,orange,1995,Switzerland,Petroleum Refinery
,,orange,1995,Switzerland,Petroleum Refinery
40.83,-98.58,orange,1995,USA,Quarrying of sand and clay
5.1756,-74.868,orange,1995,RoW America,Copper production
,,orange,1995,RoW America,Copper production
-1.0,115.0,orange,1995,Indonesia,Mining of copper
36.1756,134.382,orange,1995,Japan,Copper production
,,orange,1995,Japan,Copper production
35.84,103.45,orange,1995,China,Extraction of crude petroleum
15.1756,99.382,orange,1995,RoW Asia and Pacific,Petroleum Refinery
,,orange,1995,RoW Asia and Pacific,Petroleum Refinery
4.0,-73.25,orange,1995,RoW America,Extraction of crude petroleum
-11.8244,-54.618,orange,1995,Brazil,Chemicals
,,orange,1995,Brazil,Chemicals
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of natural gas
36.1756,134.382,orange,1995,Japan,Petroleum Refinery
,,orange,1995,Japan,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of natural gas
37.1756,126.382,orange,1995,South Korea,Petroleum Refinery
,,orange,1995,South Korea,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Mining of other non-ferrous metals
50.1756,18.382,orange,1995,Slovakia,Casting of metals
,,orange,1995,Slovakia,Casting of metals
14.0,101.0,orange,1995,RoW Asia and Pacific,Extraction of crude petroleum
67.5956,92.632,orange,1995,Russia,Petroleum Refinery
,,orange,1995,Russia,Petroleum Refinery
14.0,101.0,orange,1995,RoW Asia and Pacific,Mining of other non-ferrous metals
50.1756,18.382,orange,1995,Slovakia,Other non-ferrous metal production
,,orange,1995,Slovakia,Other non-ferrous metal production
9.0,8.0,orange,1995,RoW Africa,Extraction of crude petroleum
